Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,timestamp
-0.555046921492332,-0.5693904020752266,0.012283512626841,-0.6687266346227203,-0.4572365911345079,-0.6392767223620962,-0.5748836499580373,-0.503624017700465,-0.426565957122148,-0.3910124361028454,-0.465323872739757,-0.5963988708323793,-0.5179674982833596,-0.2066834515907526,-0.226520180056458,-0.3722438391699088,-0.5567254139009685,-0.3765163653009838,-0.3044937819485767,-0.0232700083924616,-0.3313496604867624,-0.4442664225223159,-0.5899900816357667,-0.4717326619363695,-0.4932478828107114,-0.5089646753643088,-0.3934538796063168,-0.5262073701075757,-0.4909590295262069,-0.1950865949492633,-0.4769207293812463,0.1738765545128561,90.6171875
-0.580529488059815,-0.5980773632410159,-0.0199130235751884,-0.6926832990005337,-0.4746318760967418,-0.6571297779812311,-0.6003662165255204,-0.5277332722972453,-0.4584573128862436,-0.4229037918669409,-0.4972152285038525,-0.6253910124361025,-0.5431448844129088,-0.2269779507133588,-0.2585641260395205,-0.4015411612115659,-0.5808346684977489,-0.3975738155184248,-0.3185320820935374,-0.0217441062027919,-0.3632410162508579,-0.4709697108415346,-0.6217288471808953,-0.503624017700465,-0.525139238574807,-0.5407034409094373,-0.4253452353704123,-0.5574883649958035,-0.5196459906919964,-0.2271305409323258,-0.5001144426642249,0.1783016708628981,90.625
-0.6122682536049435,-0.6296635385671775,-0.0362401770046535,-0.7242694743266953,-0.5065232318608374,-0.6887159533073927,-0.6321049820706489,-0.5594720378423739,-0.4901960784313721,-0.4547951476310364,-0.528953994048981,-0.6571297779812311,-0.5748836499580373,-0.2590218966964214,-0.290608072022583,-0.4334325169756615,-0.6124208438239106,-0.4294651712825204,-0.3505760280765999,-0.0539406424048214,-0.3951323720149534,-0.5027084763866633,-0.653315022507057,-0.5353627832455936,-0.5568780041199356,-0.5724422064545659,-0.4572365911345079,-0.589227130540932,-0.5513847562371249,-0.2591744869153883,-0.5318532082093534,0.1457999542229347,90.6328125
-0.6440070191500721,-0.661402304112306,-0.068436713206683,-0.7557030594338899,-0.5382619974059659,-0.7203021286335543,-0.6636911573968105,-0.5912108033875024,-0.5220874341954678,-0.486533913176165,-0.5606927595941096,-0.6887159533073927,-0.6066224155031659,-0.2910658426794839,-0.3226520180056454,-0.465323872739757,-0.6441596093690392,-0.4613565270466159,-0.3824673838406954,-0.0861371786068508,-0.4270237277790489,-0.5345998321507588,-0.6849011978332185,-0.5671015487907222,-0.5886167696650642,-0.6041809719996944,-0.4889753566796364,-0.6208133058670935,-0.5831235217822535,-0.2912184328984508,-0.563591973754482,0.1134508278019383,90.640625
-0.6166933699549856,-0.6278324559395739,-0.0925459678034633,-0.7222858014801248,-0.5049973296711677,-0.6884107728694587,-0.6389715419241623,-0.5577935454337374,-0.4886701762417025,-0.4532692454413668,-0.5272755016403445,-0.6583504997329668,-0.5782406347753106,-0.2681773098344392,-0.2895399404898142,-0.4412146181429766,-0.6157778286411838,-0.4383154039826043,-0.3646143282215606,-0.0666056305790794,-0.3937590600442507,-0.5011825741969936,-0.6514839398794534,-0.533836881055924,-0.5551995117112989,-0.5707637140459293,-0.4557106889448382,-0.5875486381322953,-0.5497062638284882,-0.2581063553826196,-0.5303273060196838,0.1296253910124365,90.6484375
-0.5832761120012203,-0.5944151979858088,-0.0595864805065991,-0.6887159533073927,-0.4715800717174025,-0.6548409246967266,-0.6055542839703971,-0.5245288776989392,-0.4554055085069043,-0.4200045777065686,-0.4940108339055463,-0.6249332417792016,-0.5449759670405123,-0.2352178225375749,-0.2564278629739829,-0.4079499504081784,-0.5823605706874185,-0.4050507362478061,-0.3315022507057293,-0.0337987335011821,-0.3606469825284195,-0.4679179064621954,-0.6180666819256881,-0.5004196231021588,-0.5217822537575338,-0.5373464560921641,-0.42244602121004,-0.5541313801785303,-0.51644159609369,-0.2251468680857553,-0.4969100480659186,0.1622796978713669,90.65625
-0.5498588540474553,-0.5611505302510106,-0.0267795834287018,-0.6552986953536274,-0.4383154039826043,-0.6214236667429613,-0.572137026016632,-0.4911116197451739,-0.4221408407721061,-0.3868925001907374,-0.460746166170748,-0.5915159838254364,-0.5115587090867472,-0.2021057450217437,-0.2233157854581517,-0.3748378728923472,-0.5490959029526203,-0.3719386587319749,-0.2983901731898981,-0.0009918364232848,-0.3275349050125883,-0.4346532387273972,-0.5846494239719231,-0.4671549553673605,-0.4885175860227355,-0.504081788357366,-0.3893339436942088,-0.520714122224765,-0.4830243381399248,-0.192034790569924,-0.4636453803311204,0.1949340047302972,90.6640625
-0.5815976195925838,-0.5927367055771721,-0.0589761196307312,-0.6868848706797891,-0.4702067597466998,-0.6531624322880899,-0.6038757915617605,-0.5230029755092696,-0.4540321965362016,-0.4187838559548329,-0.4926375219348436,-0.6231021591515981,-0.5432974746318757,-0.2343022812237731,-0.2555123216601812,-0.4067292286564427,-0.5808346684977489,-0.4038300144960704,-0.3304341191729606,-0.0331883726253142,-0.3594262607766838,-0.4665445944914927,-0.6162355992980846,-0.4988937209124891,-0.5204089417868311,-0.5358205539024945,-0.4212252994583043,-0.5524528877698935,-0.5149156939040204,-0.2240787365529865,-0.4955367360952159,0.1624322880903338,90.671875
-0.6133363851377124,-0.6209658960860606,-0.0911726558327607,-0.6908522163729302,-0.5020981155107954,-0.6847486076142516,-0.6356145571068891,-0.5500114442664221,-0.4859235523002971,-0.4505226214999615,-0.5243762874799721,-0.6548409246967266,-0.5750362401770043,-0.2663462272068356,-0.2874036774242767,-0.4386205844205382,-0.6124208438239106,-0.4357213702601659,-0.3623254749370561,-0.0655374990463107,-0.3913176165407793,-0.4982833600366212,-0.6479743648432131,-0.5307850766765846,-0.5521477073319596,-0.5660334172579534,-0.4531166552223998,-0.5841916533150221,-0.5466544594491489,-0.256275272755016,-0.5272755016403445,0.1792172121766999,90.6796875
-0.5957885099565114,-0.6115053025101088,-0.0583657587548633,-0.6992446784161132,-0.5097276264591436,-0.6778820477607381,-0.6195925841153578,-0.5515373464560918,-0.4526588845654989,-0.4317540245670249,-0.5089646753643088,-0.6397344930189971,-0.5570305943389025,-0.2419317921721213,-0.2697032120241088,-0.4242771038376436,-0.5950255588616766,-0.4193942168307008,-0.3409628442816811,-0.0325780117494464,-0.3699549858854044,-0.4808880750743873,-0.6278324559395739,-0.5117112993057141,-0.5402456702525364,-0.563439383535515,-0.4316014343480579,-0.5646601052872507,-0.5342946517128249,-0.2385748073548481,-0.5472648203250168,0.1831845578698409,90.6875
-0.62752727550164,-0.6432440680552374,-0.0905622949568928,-0.7308308537422747,-0.5410086213473713,-0.7094682230868998,-0.6511787594415195,-0.5832761120012203,-0.4506752117189284,-0.4445716029602498,-0.5309376668955517,-0.6714732585641257,-0.5831235217822535,-0.2494087129015026,-0.277637903410391,-0.4561684596017391,-0.6266117341878382,-0.4512855725947963,-0.3728542000457767,-0.0649271381704428,-0.4018463416494999,-0.5127794308384829,-0.6595712214847025,-0.5436026550698096,-0.571984435797665,-0.5951781490806436,-0.4634927901121534,-0.5963988708323793,-0.5660334172579534,-0.2706187533379106,-0.5790035858701453,0.1506828412298776,90.6953125
-0.6580453192950328,-0.6641489280537114,-0.1227588311589222,-0.7137407492179748,-0.5403982604715034,-0.7343404287785149,-0.6807812619211105,-0.5960936903944454,-0.482413977264057,-0.4758525978484775,-0.5539787899595632,-0.6993972686350801,-0.6122682536049435,-0.2814526588845651,-0.3096818493934535,-0.4880598153658346,-0.6577401388570989,-0.4830243381399248,-0.4047455558098722,-0.0971236743724723,-0.4326695658808266,-0.5388723582818338,-0.6865796902418552,-0.5640497444113829,-0.5913633936064695,-0.6098268101014721,-0.4932478828107114,-0.6203555352101927,-0.5869382772564274,-0.3025101091020061,-0.610589761196307,0.1183337148088811,90.703125
-0.6272220950637061,-0.6398870832379641,-0.089799343862058,-0.6803234912642095,-0.5471122301060499,-0.7120622568093381,-0.6565194171053632,-0.5626764324406802,-0.4747844663157087,-0.4636453803311204,-0.5385671778438998,-0.6762035553521016,-0.5973144121461811,-0.2831311512932017,-0.3334859235522999,-0.4715800717174025,-0.6340886549172194,-0.4549477378500034,-0.371633478294041,-0.064164187075608,-0.3995574883649954,-0.5065232318608374,-0.6534676127260238,-0.5306324864576177,-0.5580987258716713,-0.5765621423666739,-0.4599832150759132,-0.5869382772564274,-0.5613031204699774,-0.2838941023880365,-0.5771725032425418,0.1509880216678115,90.7109375
-0.6003662165255204,-0.6249332417792016,-0.0569924467841607,-0.7006179903868158,-0.5710688944838632,-0.6990920881971462,-0.6363775082017239,-0.5559624628061338,-0.4512855725947963,-0.4447241931792168,-0.5201037613488971,-0.6519417105363542,-0.5751888303959712,-0.2639047837033642,-0.3003738460364686,-0.4383154039826043,-0.6078431372549016,-0.4216830701152052,-0.3385214007782097,-0.0313572899977107,-0.3662928206301972,-0.4732585641260391,-0.6237125200274659,-0.5049973296711677,-0.5329213397421222,-0.5544365606164642,-0.4338902876325624,-0.5669489585717552,-0.5432974746318757,-0.2610055695429919,-0.5439078355077436,0.1836423285267418,90.71875
-0.5671015487907222,-0.5915159838254364,-0.0492103456168455,-0.6670481422140837,-0.537804226749065,-0.665674830243381,-0.6029602502479587,-0.5225452048523685,-0.4180209048599981,-0.4114595254444186,-0.4868390936140989,-0.6185244525825891,-0.541924162661173,-0.2309452964064999,-0.2672617685206374,-0.4052033264667731,-0.5744258793011364,-0.388418402380407,-0.3052567330434115,0.0012970168612196,-0.3331807431143659,-0.4399938963912409,-0.5902952620737006,-0.4717326619363695,-0.499504081788357,-0.5210193026626989,-0.4006256198977642,-0.53353170061799,-0.5100328068970775,-0.2278934920271606,-0.5104905775539784,0.1854734111543454,90.7265625
-0.533684290836957,-0.5580987258716713,-0.0533302815289535,-0.6336308842603185,-0.5043869687952999,-0.6322575722896159,-0.5695429922941936,-0.4892805371175703,-0.3847562371251999,-0.3783474479285874,-0.4535744258793007,-0.5851071946288239,-0.5085069047074079,-0.1978332188906686,-0.2341496910048062,-0.3719386587319749,-0.5410086213473713,-0.3553063248645758,-0.2722972457465472,0.0341039139391169,-0.3000686655985347,-0.4067292286564427,-0.5568780041199356,-0.4384679942015713,-0.4662394140535588,-0.4877546349279007,-0.367360952162966,-0.5002670328831919,-0.4767681391622793,-0.1949340047302963,-0.4772259098191802,0.1764705882352945,90.734375
-0.5654230563820856,-0.5898374914167999,-0.085526817730983,-0.6652170595864801,-0.5361257343404284,-0.6638437476157775,-0.6012817578393221,-0.5210193026626989,-0.4166475928892954,-0.4102388036926829,-0.4854657816433962,-0.6168459601739524,-0.5402456702525364,-0.2298771648737312,-0.2661936369878687,-0.4038300144960704,-0.5727473868924998,-0.3871976806286713,-0.3041886015106427,0.0017547875181205,-0.3319600213626302,-0.4386205844205382,-0.5886167696650642,-0.4703593499656668,-0.4981307698176543,-0.5194934004730293,-0.3994048981460285,-0.5320057984283204,-0.5085069047074079,-0.2269779507133588,-0.5089646753643088,0.1441214618142981,90.7421875
-0.5971618219272141,-0.6215762569619284,-0.1155870908674749,-0.6969558251316087,-0.567864499885557,-0.6954299229419391,-0.6330205233844507,-0.5527580682078275,-0.4485389486533909,-0.4419775692378114,-0.5172045471885249,-0.6484321355001141,-0.571984435797665,-0.2619211108567937,-0.2982375829709311,-0.4357213702601659,-0.6044861524376284,-0.4190890363927668,-0.3362325474937053,-0.0302891584649419,-0.3640039673456927,-0.4705119401846337,-0.6203555352101927,-0.5020981155107954,-0.5298695353627828,-0.5512321660181578,-0.431143663691157,-0.563744563973449,-0.5402456702525364,-0.2590218966964214,-0.5408560311284043,0.1393911650263222,90.75
-0.5735103379873346,-0.5938048371099409,-0.0827801937895776,-0.6736095216296631,-0.5356679636835275,-0.670099946593423,-0.6139467460135802,-0.5301747158007167,-0.4152742809185927,-0.4277866788738838,-0.50789654383154,-0.6237125200274659,-0.5519951171129928,-0.2539864194705115,-0.2809948882276642,-0.4209201190203704,-0.5793087663080793,-0.4186312657358659,-0.3440146486610204,-0.0502784771496142,-0.3307392996108945,-0.4418249790188445,-0.593041886015106,-0.4714274814984355,-0.5133897917143507,-0.5323109788662543,-0.4036774242771034,-0.5361257343404284,-0.5150682841229873,-0.2588693064774544,-0.5315480277714195,0.1720454718852526,90.7578125
-0.5657282368200195,-0.5869382772564274,-0.0888838025482562,-0.640192263675898,-0.528953994048981,-0.6556038757915613,-0.6015869382772561,-0.5005722133211258,-0.4180209048599981,-0.414053559166857,-0.499198901350423,-0.6174563210498203,-0.5411612115663382,-0.2301823453116651,-0.2710765239948115,-0.4132906080720221,-0.572137026016632,-0.4105439841306168,-0.3319600213626302,-0.0312046997787437,-0.3334859235522999,-0.4418249790188445,-0.5924315251392381,-0.4790569924467838,-0.5268177309834435,-0.5425345235370409,-0.4103913939116498,-0.5407034409094373,-0.5156786449988553,-0.2507820248722053,-0.5074387731746391,0.1410696574349588,90.765625
-0.597467002365148,-0.618677042801556,-0.1209277485313187,-0.6569771877622641,-0.5606927595941096,-0.6873426413366899,-0.6331731136034177,-0.5323109788662543,-0.4499122606240936,-0.4459449149309525,-0.5191882200350953,-0.6491950865949488,-0.5672541390096891,-0.2372014953841454,-0.2718394750896463,-0.4262607766842141,-0.6037232013427936,-0.4163424124513615,-0.3392843518730445,-0.0444800488288696,-0.3655298695353624,-0.47371633478294,-0.6241702906843667,-0.5109483482108793,-0.5570305943389025,-0.5742732890821695,-0.4422827496757454,-0.5724422064545659,-0.5474174105439839,-0.2747386892500187,-0.520714122224765,0.1087205310139624,90.7734375
-0.5768673228046078,-0.5996032654306855,-0.0881208514534214,-0.687495231555657,-0.5303273060196838,-0.6722362096589606,-0.618677042801556,-0.5358205539024945,-0.4335851071946284,-0.44808117799649,-0.5074387731746391,-0.6290531776913096,-0.5498588540474553,-0.2343022812237731,-0.2387273975738151,-0.3929961089494159,-0.5800717174029142,-0.384145876249332,-0.3081559472037838,-0.0116731517509723,-0.3322652018005642,-0.4404516670481418,-0.5953307392996106,-0.4775310902571141,-0.5236133363851374,-0.5408560311284043,-0.4090180819409472,-0.5390249485008007,-0.5202563515678642,-0.2416266117341874,-0.5274280918593114,0.1331349660486767,90.78125
-0.5619134813458453,-0.5861753261615927,-0.0803387502861062,-0.7190814068818185,-0.4970626382848855,-0.6479743648432131,-0.6047913328755623,-0.5312428473334856,-0.4003204394598302,-0.4276340886549168,-0.5054551003280686,-0.6182192721446552,-0.5477225909819178,-0.2454413672083615,-0.2671091783016704,-0.4033722438391695,-0.5703059433890284,-0.3858243686579686,-0.3006790264744026,0.020981155107958,-0.3278400854505222,-0.4349584191653311,-0.5864805065995267,-0.4679179064621954,-0.5144579232471195,-0.5332265201800561,-0.3846036469062329,-0.5201037613488971,-0.5053025101091017,-0.2275883115892267,-0.5356679636835275,0.165789272907607,90.7890625
-0.5936522468909738,-0.6179140917067213,-0.1125352864881357,-0.7373922331578542,-0.5288014038300142,-0.6795605401693748,-0.6363775082017239,-0.5608453498130767,-0.4229037918669409,-0.4369420920119016,-0.5274280918593114,-0.6498054474708167,-0.5794613565270463,-0.2722972457465472,-0.2991531242847329,-0.435263599603265,-0.602044708934157,-0.4177157244220641,-0.332722972457465,-0.0112153810940714,-0.3598840314335847,-0.4666971847104597,-0.6182192721446552,-0.4996566720073239,-0.546196688792248,-0.5649652857251847,-0.4164950026703284,-0.5518425268940257,-0.5370412756542302,-0.2596322575722892,-0.5663385976958873,0.1332875562676437,90.796875
-0.5767147325856409,-0.5931944762340731,-0.1032272831311508,-0.7038223849851221,-0.5344472419317918,-0.6687266346227203,-0.6224917982757302,-0.5373464560921641,-0.42244602121004,-0.4206149385824365,-0.503929198138399,-0.6333257038223846,-0.5579461356527042,-0.2484931715877008,-0.2681773098344392,-0.4148165102616918,-0.5896849011978328,-0.414206149385824,-0.3395895323109785,-0.0434119172961008,-0.3266193636987865,-0.4406042572671088,-0.593041886015106,-0.4715800717174025,-0.5179674982833596,-0.5382619974059659,-0.3940642404821847,-0.5349050125886927,-0.5176623178454257,-0.2362859540703437,-0.5478751812008846,0.1609063859006642,90.8046875
-0.5432974746318757,-0.5597772182803078,-0.0702677958342866,-0.6704051270313569,-0.5011825741969936,-0.6353093766689552,-0.5890745403219649,-0.503929198138399,-0.3893339436942088,-0.3873502708476383,-0.4705119401846337,-0.5999084458686195,-0.5245288776989392,-0.2153810940718696,-0.235065232318608,-0.3817044327458606,-0.5562676432440677,-0.3809414816510257,-0.3064774547951472,-0.0106050202182035,-0.2935072861829553,-0.4074921797512775,-0.559624628061341,-0.4383154039826043,-0.4847028305485614,-0.5048447394522008,-0.3607995727473865,-0.5014877546349276,-0.4842450598916605,-0.2033264667734794,-0.5144579232471195,0.1935606927595945,90.8125
-0.5100328068970775,-0.5284962233920802,-0.0374608987563892,-0.6369878690775918,-0.4679179064621954,-0.60189211871519,-0.5556572823681999,-0.4706645304036007,-0.3560692759594106,-0.3633936064698249,-0.4450293736171507,-0.5664911879148543,-0.4912642099641409,-0.1865415426871133,-0.2021057450217437,-0.3484397650110624,-0.5228503852903025,-0.3478294041351945,-0.273365377279316,0.0220492866407267,-0.2727550164034481,-0.3833829251544972,-0.5339894712748909,-0.4193942168307008,-0.4601358052948802,-0.4715800717174025,-0.3446250095368883,-0.469291218432898,-0.4557106889448382,-0.1882200350957499,-0.4811932555123213,0.2153810940718704,90.8203125
-0.5417715724422061,-0.5602349889372088,-0.0696574349584187,-0.6685740444037533,-0.4996566720073239,-0.6334782940413516,-0.5873960479133284,-0.5025558861676963,-0.3881132219424731,-0.3952849622339204,-0.4767681391622793,-0.5982299534599829,-0.5230029755092696,-0.2185854886701758,-0.2341496910048062,-0.3804837109941248,-0.554589150835431,-0.37972075989929,-0.3052567330434115,-0.0101472495613026,-0.3047989623865106,-0.4152742809185927,-0.5657282368200195,-0.4512855725947963,-0.4918745708400087,-0.5034714274814981,-0.3765163653009838,-0.5010299839780267,-0.4874494544899668,-0.2202639810788124,-0.5129320210574498,0.182879377431907,90.828125
-0.5735103379873346,-0.5919737544823374,-0.1018539711604482,-0.7001602197299149,-0.5313954375524526,-0.6650644693675132,-0.619134813458457,-0.5342946517128249,-0.4200045777065686,-0.4271763179980159,-0.5086594949263749,-0.6298161287861445,-0.5547417410543981,-0.2506294346532383,-0.2661936369878687,-0.4123750667582204,-0.5863279163805596,-0.4116121156633855,-0.337300679026474,-0.0423437857633321,-0.3368429083695731,-0.4471656366826883,-0.597467002365148,-0.4830243381399248,-0.5236133363851374,-0.5352101930266266,-0.4084077210650793,-0.5329213397421222,-0.5191882200350953,-0.2523079270618749,-0.5448233768215454,0.1503776607919436,90.8359375
-0.5400930800335695,-0.5585564965285721,-0.0690470740825509,-0.6667429617761498,-0.4985885404745552,-0.631647211413748,-0.5857175555046917,-0.5008773937590597,-0.3867399099717704,-0.3939116502632177,-0.4753948271915766,-0.5963988708323793,-0.5214770733195999,-0.217669947356374,-0.2330815594720374,-0.3791103990234222,-0.5530632486457614,-0.3785000381475543,-0.3041886015106427,-0.0095368886854348,-0.3035782406347749,-0.41390096894789,-0.5640497444113829,-0.4497596704051266,-0.4903486686503391,-0.5019455252918285,-0.3751430533302811,-0.499504081788357,-0.4859235523002971,-0.2193484397650106,-0.5114061188677802,0.1395437552452892,90.84375
-0.54207675288014,-0.5728999771114668,-0.0760662241550312,-0.6398870832379641,-0.5007248035400927,-0.6305790798809793,-0.5783932249942775,-0.4953841458762489,-0.367360952162966,-0.3803311207751579,-0.4784466315709159,-0.6029602502479587,-0.5245288776989392,-0.2281986724650946,-0.2651255054550999,-0.4018463416494999,-0.555046921492332,-0.4082551308461123,-0.3269245441367204,-0.0019073777370866,-0.3049515526054776,-0.4192416266117338,-0.5757991912718391,-0.4575417715724418,-0.4857709620813302,-0.4998092622262909,-0.3809414816510257,-0.504081788357366,-0.4937056534676123,-0.239032578011749,-0.5133897917143507,0.1480888075074392,90.8515625
-0.5738155184252686,-0.6046387426565953,-0.1082627603570607,-0.6714732585641257,-0.5324635690852213,-0.6621652552071409,-0.610131990539406,-0.5271229114213775,-0.3992523079270615,-0.4122224765392534,-0.5101853971160445,-0.6346990157930873,-0.5562676432440677,-0.2602426184481571,-0.2971694514381624,-0.4337376974135954,-0.5867856870374606,-0.4401464866102079,-0.3588158999008159,-0.034103913939116,-0.3368429083695731,-0.4509803921568623,-0.6075379568169677,-0.4894331273365373,-0.5175097276264589,-0.5315480277714195,-0.4128328374151213,-0.5359731441214615,-0.525444419012741,-0.2710765239948115,-0.5452811474784462,0.1155870908674758,90.859375
-0.5405508506904704,-0.5712214847028302,-0.0754558632791633,-0.6380560006103605,-0.499198901350423,-0.6287479972533757,-0.5767147325856409,-0.4938582436865793,-0.3661402304112302,-0.3789578088044552,-0.4769207293812463,-0.6012817578393221,-0.5228503852903025,-0.2271305409323258,-0.2640573739223312,-0.4004730296787972,-0.5533684290836953,-0.4068818188754097,-0.3257038223849847,-0.0012970168612187,-0.3037308308537418,-0.4178683146410311,-0.5741206988632025,-0.4560158693827721,-0.4842450598916605,-0.4982833600366212,-0.37972075989929,-0.5025558861676963,-0.4921797512779427,-0.2379644464789803,-0.5118638895246811,0.1482413977264061,90.8671875
-0.5071335927367052,-0.537804226749065,-0.0424963759822991,-0.6046387426565953,-0.4659342336156248,-0.5953307392996106,-0.5434500648508427,-0.4604409857328141,-0.333028152895399,-0.345845731288624,-0.443656061646448,-0.567864499885557,-0.4895857175555043,-0.1941710536354615,-0.2310978866254669,-0.367208361943999,-0.5199511711299303,-0.3737697413595784,-0.2925917448691535,0.0313572899977115,-0.2706187533379106,-0.3846036469062329,-0.5407034409094373,-0.4229037918669409,-0.4509803921568623,-0.4650186923018231,-0.3464560921644918,-0.469291218432898,-0.4589150835431445,-0.205004959182116,-0.4785992217898829,0.1808957045853365,90.875
